Миграционный центр;все;г. Иркутск;"ОП Филиала по Иркутской области ФГУП ""ПВС"" МВД РФ ";г. Иркутск, ул. Главная Кировская, д. 49В;52.306016;104.2542836; 8(3952) 72-87-17 доб. 309 ;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Бодайбо;"ОП Филиала по Иркутской области ФГУП ""ПВС"" МВД РФ ";Иркутская область, г. Бодайбо, ул. Стояновича, стр. 87,1;57.8464122;114.2007613; 8(3952) 72-87-17 доб. 309 ;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Калининград;"Филиал по Калининградской области ФГУП ""ПВС"" МВД РФ ";г. Калининград, пер. Ганзейский, д. 2-5;54.7463001;20.5373581; 8(4012) 36-91-00;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Калининград;"ОП Филиала по Калининградской области ФГУП ""ПВС"" МВД РФ ";г. Калининград, ул. Фрунзе, 6, второй этаж (вход со стороны ул. Сергея Тюленева);54.711368;20.521556; 8(4012) 36-91-00;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Петропавловск-Камчатский;"Филиал по Камчатскому краю ФГУП ""ПВС"" МВД РФ ";г. Петропавловск-Камчатский, ул. Максутова, д. 43;53.0355117;158.6616488;"  8(4152) 42-80-15
  8(4152) 42-80-17
  8(4152) 42-80-18";"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
Без перерыва на обед
Выходной: Сб, Вс"
Миграционный центр;все;г. Кемерово;"Филиал по Кемеровской области ФГУП ""ПВС"" МВД РФ ";г. Кемерово, ул. Кирова д.13А;55.36208329999999;86.076651;" 8(905) 909-19-96
 8(904) 370-78-03";"Пн-Пт с 9:00 до 18:00
обед с 13:00 до 14:00
Выходной: Сб, Вс"
Миграционный центр;все;г. Киров;"Филиал по Кировской области ФГУП ""ПВС"" МВД РФ "; г. Киров, ул. Карла Маркса, д. 10, офис 38;58.61349919999999;49.6676827; 8(8332) 21-12-75;"Пн-Чт с 8:30 до 17:15
Пт с 8:30 до 16:00
с 12:00 до 12:30
Выходной: Сб, Вс"
Миграционный центр;все;г. Краснодар;"Филиал по Краснодарскому краю ФГУП ""ПВС"" МВД РФ ";г. Краснодар, ул. Дзержинского, 100/5 лит. У (4 этаж);45.102078;38.98360470000001;" 8(861)202-02-20
 8(861)202-02-35";"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Краснодар;"ОП Филиала по Красноярскому краю ФГУП ""ПВС"" МВД РФ ";г. Краснодар, ул. Одесская д. 48 лит. В;45.0485483;38.9857746; 8(961)593-46-08;"Пн-Чт с 9:00 до 18:00
Пт с 9:00 до 16:45
обед с 13:00 до 13:45
Выходной: Сб, Вс"
Миграционный центр;все;г. Красноярск;"ОП Филиала по Красноярскому краю ФГУП ""ПВС"" МВД РФ "; г. Красноярск, ул. Устиновича, 2;56.0546789;92.9720246; 8(391) 258-08-71;"Пн-Пт с 8:30 до 17:30
обед с 13:00 до 14:00
Выходной: Сб, Вс"
